player_name,club_img_url,player_position,transfer_type,transfer_fee,is_loan,minutes_played,goals,window,team_name,player_url,player_age,transfer_notes,in_squad,appearances,team_urls.x,team_urls.y
Luca Kilian,https://tmssl.akamaized.net/images/wappen/head/438.png?lm=1656580823,Centre-Back,Arrivals,2.00E+06,FALSE,1593,1,Summer,1. FC Köln,https://www.transfermarkt.com/luca-kilian/profil/spieler/384553,22,NA,22,19,https://www.transfermarkt.com/1-fc-koln/startseite/verein/3/saison_id/2022,https://www.transfermarkt.com/1-fc-koln/startseite/verein/3/saison_id/2022
Sargis Adamyan,https://tmssl.akamaized.net/images/wappen/head/438.png?lm=1656580823,Centre-Forward,Arrivals,1500000,FALSE,1039,2,Summer,1. FC Köln,https://www.transfermarkt.com/sargis-adamyan/profil/spieler/125614,29,NA,30,26,https://www.transfermarkt.com/1-fc-koln/startseite/verein/3/saison_id/2022,https://www.transfermarkt.com/1-fc-koln/startseite/verein/3/saison_id/2022
Steffen Tigges,https://tmssl.akamaized.net/images/wappen/head/438.png?lm=1656580823,Centre-Forward,Arrivals,1500000,FALSE,1388,6,Summer,1. FC Köln,https://www.transfermarkt.com/steffen-tigges/profil/spieler/296879,23,NA,27,25,https://www.transfermarkt.com/1-fc-koln/startseite/verein/3/saison_id/2022,https://www.transfermarkt.com/1-fc-koln/startseite/verein/3/saison_id/2022
Eric Martel,https://tmssl.akamaized.net/images/wappen/head/438.png?lm=1656580823,Defensive Midfield,Arrivals,1200000,FALSE,1621,0,Summer,1. FC Köln,https://www.transfermarkt.com/eric-martel/profil/spieler/597000,20,NA,30,24,https://www.transfermarkt.com/1-fc-koln/startseite/verein/3/saison_id/2022,https://www.transfermarkt.com/1-fc-koln/startseite/verein/3/saison_id/2022
Nikola Soldo,https://tmssl.akamaized.net/images/wappen/head/438.png?lm=1656580823,Centre-Back,Arrivals,NA,FALSE,920,0,Summer,1. FC Köln,https://www.transfermarkt.com/nikola-soldo/profil/spieler/674921,21,€500k,22,11,https://www.transfermarkt.com/1-fc-koln/startseite/verein/3/saison_id/2022,https://www.transfermarkt.com/1-fc-koln/startseite/verein/3/saison_id/2022
Denis Huseinbasic,https://tmssl.akamaized.net/images/wappen/head/438.png?lm=1656580823,Central Midfield,Arrivals,NA,FALSE,880,4,Summer,1. FC Köln,https://www.transfermarkt.com/denis-huseinbasic/profil/spieler/678479,20,€50k,25,19,https://www.transfermarkt.com/1-fc-koln/startseite/verein/3/saison_id/2022,https://www.transfermarkt.com/1-fc-koln/startseite/verein/3/saison_id/2022
Kristian Pedersen,https://tmssl.akamaized.net/images/wappen/head/438.png?lm=1656580823,Left-Back,Arrivals,0,FALSE,821,0,Summer,1. FC Köln,https://www.transfermarkt.com/kristian-pedersen/profil/spieler/331779,27,NA,24,13,https://www.transfermarkt.com/1-fc-koln/startseite/verein/3/saison_id/2022,https://www.transfermarkt.com/1-fc-koln/startseite/verein/3/saison_id/2022
Linton Maina,https://tmssl.akamaized.net/images/wappen/head/438.png?lm=1656580823,Right Winger,Arrivals,0,FALSE,1619,2,Summer,1. FC Köln,https://www.transfermarkt.com/linton-maina/profil/spieler/335103,23,NA,30,29,https://www.transfermarkt.com/1-fc-koln/startseite/verein/3/saison_id/2022,https://www.transfermarkt.com/1-fc-koln/startseite/verein/3/saison_id/2022
Jonas Urbig,https://tmssl.akamaized.net/images/wappen/head/438.png?lm=1656580823,Goalkeeper,Arrivals,NA,FALSE,0,0,Summer,1. FC Köln,https://www.transfermarkt.com/jonas-urbig/profil/spieler/607720,18,-,6,0,https://www.transfermarkt.com/1-fc-koln/startseite/verein/3/saison_id/2022,https://www.transfermarkt.com/1-fc-koln/startseite/verein/3/saison_id/2022
Florian Dietz,https://tmssl.akamaized.net/images/wappen/head/438.png?lm=1656580823,Centre-Forward,Arrivals,NA,FALSE,839,3,Summer,1. FC Köln,https://www.transfermarkt.com/florian-dietz/profil/spieler/283871,23,-,18,18,https://www.transfermarkt.com/1-fc-koln/startseite/verein/3/saison_id/2022,https://www.transfermarkt.com/1-fc-koln/startseite/verein/3/saison_id/2022
